类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
财经,中国新闻网 　,联想18/19财年营收创历史新高 净利润转正,"  
　　中新社北京5月23日电 (记者 刘育英)联想集团23日公布2018/2019财年第四财季业绩和全年业绩，其营收历史上首次突破500亿美元，净利润则由负转正。

　　业绩报告显示，联想集团18/19财年全年营业额创历史新高，达510亿美元，折合人民币3422亿元，同比增长12.5%。上一财年营收为454亿美元。财年净利润40亿人民币，同比成功扭亏。上一财年亏损1.89亿美元。

　　联想称，18/19财年第四财季，即2019年一季度，联想营业额实现连续七个季度同比增长，所有业务全面向好。在个人电脑市场，份额达到了23.4%的新高，重返全球第一。联想个人电脑与智能设备业务的营收占营收总额的75%。该业务板块除个人电脑外，其产品还包括虚拟现实(VR)与增强现实(AR)、智能物联网(SIoT)设备等。

　　在收购摩托罗拉手机业务后，联想移动业务曾连续亏损。但到2019年一季度，连续两个季度实现盈利。联想手机与摩托罗拉手机在北美市场份额从去年同期的3.8%提升至6.5%，拉美市场份额达到17.6%，创历史新高。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　2019年4月，联想宣布“3S”战略，即围绕智能物联网、智能基础架构、行业智能持续发力，希望企业业务成为新营收增长点。联想集团董事长兼首席执行官杨元庆认为，联想未来发展的新基石已具备雏形。(完)  

      ",5-23 20:02,http://www.chinanews.com/cj/2019/05-23/8845499.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:12
娱乐,中国新闻网 　,《大江大河》《都挺好》等入围白玉兰最佳电视剧,"  
　　中新网北京5月23日电(记者 张曦)  23日，2019年上海国际电影电视节组委会在北京举行新闻发布会，公布了第25届上海电视节白玉兰奖中国电视剧单元入围片和第22届上海国际电影节金爵奖评委会全名单，并介绍了总体情况。



发布会现场

　　《大江大河》《都挺好》等入围白玉兰最佳电视剧

　　今年是第25届上海电视节，作为电视节核心板块的白玉兰奖评选，始终以权威、公正、公平的评审机制和认真、严肃、专业的艺术态度，对中外电视剧、纪录片、动画片、综艺四大类别进行优中选优。

　　今年的白玉兰奖聚集了来自世界各地52个国家和地区的近千部优秀节目，入围作品将共同角逐电视剧、纪录片、动画片、综艺四大类别的专业奖项。



白玉兰奖最佳中国电视剧入围名单

　　其中入围白玉兰奖最佳中国电视剧的作品是《大江大河》《都挺好》《正阳门下小女人》《知否知否应是绿肥红瘦》《天盛长歌》《芝麻胡同》《最美的青春》《归去来》《那座城这家人》《创业时代》。

　　据悉，上海电视节期间，由中外电视行业著名艺术家、专家组成的国际评委会将在上海进行白玉兰奖终评；四大类别中的综艺类别则通过选片人机制进行终评投票。6月14日晚，各类别的最终获奖名单将在“白玉兰绽放”颁奖典礼上揭晓。



金爵奖评委

　　上海国际电影节报名影片数量增加

　　主办单位介绍，今年，上海国际电影节共收到来自全球112个国家和地区的报名影片3964部部报名影片，数量与去年相比又有增加。

　　经过选片人的精心遴选，500部左右的中外优秀影片将从6月15日至24日在上海的47家影院展映。

　　据了解，今年的展映板块，世界首映、国际首映影片的比例较往年大幅增加，并且出现了如“科幻”“月球”等具有科技元素的单元，还全新策划了容纳各大电影节获奖片的影展精粹单元等。

　　作为上海国际电影节的核心板块，第22届上海国际电影节的金爵奖入围影片甄选正在有条不紊地进行当中，将于6月初公布，6月23日将揭晓金爵奖评选结果。

　　第22届上海国际电影节金爵奖评委会全名单：

　　金爵奖剧情片单元

　　主席：努里•比格•锡兰(土耳其导演、编剧)

　　评委：

　　保罗•杰诺维塞(意大利导演、编剧)

　　小阿列克谢•日耳曼(俄罗斯导演、编剧)

　　王景春(中国演员)

　　拉吉库马尔•希拉尼 (印度导演)

　　尼古拉斯•塞利斯(墨西哥制片人)

　　赵涛(中国演员)

　　金爵奖纪录片单元：

　　主席：维克多•科萨科夫斯基(俄罗斯导演、制片人、编剧)

　　委员：

　　伊莎贝尔•费南德兹(荷兰制片人)

　　周浩(中国纪录片导演)

　　金爵奖动画片单元

　　主席：汤姆•摩尔(爱尔兰导演)

　　委员：

　　米格莫•索德诺皮林(蒙古导演)

　　高薇华(中国制片人)

　　国际短片单元

　　主席：劳尔•加西亚 (美国导演)

　　委员：

　　莱昂内尔•维埃拉(葡萄牙导演)

　　松太加(中国导演、编剧)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 20:01,http://www.chinanews.com/yl/2019/05-23/8845504.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:12
财经,中国新闻网 　,中国取消从美进口猪肉？商务部：无限制或管理措施,"  
　　中新网5月23日电 商务部新闻发言人高峰23日在谈及中国猪肉进口问题时表示，中国对于猪肉的进口，除了需要符合有关检验检疫的要求以外，没有任何的限制或管理措施，美国是中国猪肉进口的主要来源地之一，是否购买美国猪肉，是企业自主的市场行为。

　　商务部23日召开例行新闻发布会，新闻发言人高峰对外发布近期商务领域重点工作情况，并现场回答媒体提问。



资料图：猪肉。 中新社发 张宇 摄

　　有记者问，上周美国农业数据显示中国取消了从美国进口的猪肉，中国是否会继续取消或购买美国的猪肉？如果不从美国买会从哪买？

　　高峰指出，中国对于猪肉的进口，除了需要符合有关检验检疫的要求以外，没有任何的限制或管理措施，企业可以根据市场的供需、价格、质量等情况，自主经营，自由贸易。根据中国海关的统计，中国猪肉进口主要来自德国、西班牙、美国、加拿大、丹麦、巴西、荷兰、法国等15个国家。

　　高峰介绍，自2018年下半年以来，受到国内生猪存栏和猪肉产量下降的影响，中国的肉类进口呈现了增长的态势，一季度猪、牛、鸡、羊肉等肉类进口总量是111.2万吨，同比增长了11.6%。预计后期我国肉类进口将进一步增加。

　　高峰称，美国是中国猪肉进口的主要来源地之一。是否购买美国猪肉，是企业自主的市场行为。据中方了解，受到近期经贸摩擦升级的影响，国内企业对美国市场的预期不稳，必然干扰正常的经营活动。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 20:06,http://www.chinanews.com/cj/2019/05-23/8845505.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:12
国内,中国新闻网 　,中国科技部长晤国际能源署长：加强清洁能源合作,"  
　　中新社北京5月23日电  来自中国科学技术部的最新消息称，该部部长王志刚近日在北京会见了来访的国际能源署署长法提赫·比罗尔一行，就加强双方在国际能源署及清洁能源部长级会议机制框架下的合作交换意见。



图为航拍海东市乐都区。 中新社记者 孙睿 摄

　　中国科技部23日通过官方微信公众号介绍，会见时，王志刚表示，能源是人类生存所必须的资源，当前全球能源发展面临着低碳清洁、可持续发展的挑战。中国高度重视清洁能源，在“十二五”期间取得了一系列发展成绩。中国科技部希望与国际能源署进一步加强合作，深化在能源研究技术委员会(CERT)、碳捕集封存与利用(CCUS)及清洁能源部长级会议(CEM)方面的合作，增进人员交流，全面推进能源科技进步和成果转化。

　　王志刚强调，实现能源的可持续发展必须通过科技创新，必须依赖合作，中方愿在推动全球走绿色、低碳、循环的可持续发展之路上贡献更多力量。

　　法提赫·比罗尔对中国在全球清洁能源转型进程中的贡献表示高度认可，对中国长期以来积极参与国际能源署相关能源科技合作的做法表示赞赏，并表示国际能源署将尽全力为中国的清洁能源转型提供支持。(完)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 20:01,http://www.chinanews.com/gn/2019/05-23/8845500.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:13
文化,中国新闻网 　,俄罗斯媒体代表走进“小平故里” 点赞中国改革开放发展成就,"  
　　中新网广安5月23日电 (岳依桐)向邓小平铜像敬献花篮、整理花篮上的缎带、三鞠躬……23日，8家俄罗斯主流媒体代表一行12人走进四川省广安市邓小平故里，表达了对这位中国改革开放总设计师的崇高敬意。

　　当日，俄罗斯媒体代表参观了邓小平故居陈列馆、邓小平故居，详细了解了这位伟人的生平。对于俄罗斯卫星通讯社记者玛琴科·柳德米拉·尼古拉耶夫娜来说，这是与邓小平时隔30年的“再会”。玛琴科曾作为前苏联访华团随团记者，于1989年在北京见过邓小平一面，她说，“当时他虽然年事已高，但依然精神抖擞，睿智又亲切。”



俄罗斯媒体代表参访四川省广安市邓小平故里。　王磊 摄

　　“我第一次来中国是1978年，那一年是中国改革开放的起点，41年过去，我清晰地看到了中国的发展和变化。”看着陈列馆中展出的邓小平照片，曾经在中国工作了15年的俄罗斯科学院远东研究所研究员伊萨耶夫·亚历山大·谢尔盖耶维奇告诉记者，此次参访四川，自己不仅看到了繁华的都市面貌，更被人们幸福的生活状态所感动。“中国改革开放的成就是显而易见的。”

　　“目前，俄罗斯学习中文的人非常多，他们认为这能够助力自己未来的发展。”俄罗斯《龙报》总编辑商永说，俄罗斯主流媒体曾发表评论称中国改革开放的成功经验已成为典范，给世界带来了发展的机遇，俄罗斯也应当积极学习中国在各个领域的成功经验。“可喜的是，近年来俄中两国的交流合作愈发频繁，为进一步深化两国友谊、增进民众感情起到了重要作用。”



俄罗斯媒体代表参访四川省广安市邓小平故里。　王磊 摄

　　在邓小平故居拍照留念后，玛琴科望着来来往往的游客说，以邓小平故居为中心打造旅游景区，不仅增加了当地的经济收入，还能加深人们对当时历史的记忆，非常有意义。“有机会的话，我还会再到这里来看看。”(完)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 19:59,http://www.chinanews.com/cul/2019/05-23/8845502.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:13
财经,中国新闻网 　,以“马拉松”喻半导体行业创业 归国企业家建言如何跑赢,"  
　　中新网北京5月23日电 (记者 张素)“半导体行业从来不是‘短平快’的行业领域，而是‘马拉松式’的耐力长跑。”天数智芯首席执行官李云鹏23日接受中新网记者采访时如是说。

　　李云鹏曾在甲骨文公司总部工作超过10年时间。2015年，他归国创立一家科技公司。“能从更基础的层面提升国家的软实力，是我选择回国和创业的初衷。”他说。

　　5月17日至19日，2019世界半导体大会在南京举行。李云鹏应邀出席“全球半导体市场与应用趋势”平行论坛并作主题演讲，他分享了芯片设计企业如何选择创业之路。

　　李云鹏注意到，随着AI浪潮的推动，近些年国内在AI芯片、AI算法、大数据方面出现持续的创业热潮。行业统计数据显示，目前国内芯片设计企业数量超过1700家，并保持着超过两位数的年增长率。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　“AI浪潮给我们提供了一个很重要的弯道超车的机会。”李云鹏说。他同时提醒，半导体行业在技术、人才、资金和市场方面有着更为严苛的要求。

　　在他看来，跑赢半导体行业创业“马拉松”，重点是完成三个关键因素的准备。第一，选择合适的赛道，即产品业务的市场是否有足够大的需求支撑；第二，拥有充沛的体能，即企业自身必须具备一定的技术实力支撑；第三，制定合理的策略，要想从巨头林立成熟的半导体行业中突围，必须制定聪明的商业策略，能够真正进入市场获得发展机会。

　　李云鹏以他们研发的一站式人工智能平台“SkyDiscovery”为例说，这一平台软件能够承载已有的开发者生态，可以根据不同场景特性做到快速落地，还提升计算系统计算力均值。其中“杀手锏”是“透明迁移”，即最大程度地发挥整个计算机硬件系统的计算能力。

　　他还谈到当前打造的“云＋边”芯云战略布局，即逐步实现智能算力主云和边缘算力小云结合，面向多个垂直行业提供智能算力加速的业务布局。“将为来自轨道交通、新零售、机器人、安防等多个行业的客户提供智能化赋能，提升业务价值。”他说。(完)  

      ",5-23 19:59,http://www.chinanews.com/cj/2019/05-23/8845501.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:14
国内,中国新闻网 　,内蒙古涉嫌挪用失地农民保险款外逃人员回国投案,"  
　　中新网5月23日电 据中央纪委国家监委网站消息，5月18日，在中央反腐败协调小组国际追逃追赃工作办公室统筹协调下，经内蒙古自治区纪委监委扎实工作，涉嫌挪用失地农民保险款的外逃人员李昊回国投案，并已主动退赃。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　李昊，男，1977年7月生，包头市青山区兴胜镇社保平台原主任。经查，2016年12月，李昊利用担任社保平台主任的职务便利，将失地农民参保缴纳的保险款存入其个人银行卡，涉嫌挪用公款罪。2018年12月潜逃国外。2019年2月，包头市青山区纪委监委对李昊违纪违法问题进行立案审查调查。

　　中央追逃办负责人表示，将坚决落实十九届中央纪委二次、三次全会部署，持续加大对侵害群众利益的外逃人员追逃追赃力度，将党中央关于有逃必追、一追到底的要求落到实处。  

      ",5-23 19:58,http://www.chinanews.com/gn/2019/05-23/8845503.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:14
财经,中国新闻网 　,商务部：中方坚决反对美方动用国家力量打压中国企业,"  
　　中新网5月23日电 谷歌公司近日停止了和华为的部分业务往来，对此商务部新闻发言人高峰23日表示，美方动用国家力量打压中国企业，不仅严重破坏两国企业间的正常商业合作，而且对全球产业链、供应链安全构成严重威胁。中方对此坚决反对。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　商务部23日召开例行新闻发布会，新闻发言人高峰对外发布近期商务领域重点工作情况，并现场回答媒体提问。

　　有记者问，根据外国媒体报道，谷歌公司近日停止了和华为的部分业务往来，未来还将停止向华为公司提供安卓系统的技术支持。请问商务部如何看待？这种针对华为的封杀是否会蔓延至其他的企业？

　　高峰指出，美方动用国家力量打压中国企业，不仅严重破坏两国企业间的正常商业合作，而且对全球产业链、供应链安全构成严重威胁。中方对此坚决反对。希望美方保持理性，纠正这样的危险做法。同时，中方将继续密切关注事态的发展，做好必要的应对准备。  

      ",5-23 19:57,http://www.chinanews.com/cj/2019/05-23/8845490.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:14
国际,环球网 　,伦敦白厅因“安全事件”关闭，警方封锁唐宁街10号,"  
　　快讯!伦敦白厅因“安全事件”关闭，警方封锁唐宁街10号

　　【环球网报道 记者 朱梦颖】据“今日俄罗斯”(RT)刚刚消息，伦敦白厅因“安全事件”关闭，警方已封锁唐宁街10号。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 19:53,http://www.chinanews.com/gj/2019/05-23/8845497.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:15
社会,新华网 　,新疆伊犁天山深处暴风雪致6名驴友被困,"  
　　新华社乌鲁木齐5月23日电(记者刘兵、顾煜)记者从新疆伊犁哈萨克自治州消防救援支队了解到，22日晚至23日凌晨，6名驴友在新疆伊犁境内天山深处徒步时遭遇暴风雪被困，其中1人已出现严重失温状态。截至23日17时，当地公安、消防等救援力量已出动2批42人进入山区展开救援。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　23日1时52分，伊犁哈萨克自治州消防救援支队指挥中心接到新疆山友救援总队报警称，来自四川、福建、河南等地的驴友6人(3男3女)，从独库公路625公里小桥处进山，因遭遇暴风雪被困，其中1名队员严重失温，急需救援。

　　经伊犁哈萨克自治州消防救援支队核查确认，被困人员位置距尼勒克县城约150公里、距奎屯市区170公里。

　　接到警情后，尼勒克县消防救援大队立即派出6名救援人员和车辆赶赴现场。截至17时，伊犁哈萨克自治州消防救援支队、尼勒克县应急管理局、尼勒克县公安局种蜂场和尼勒克县山友救援队、牧民马队等均已赶赴事发山区开展救援。

　　据伊犁哈萨克自治州消防救援支队介绍，目前被困人员已自行搭设帐篷，食物、饮水充足，在原地等待救援。  

      ",5-23 19:51,http://www.chinanews.com/sh/2019/05-23/8845496.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:16
社会,中国新闻网 　,南京民办中小学学费大面积普涨：“入学赞助费”被禁,"  
　　中新网南京5月23日电(记者 申冉)23日，南京市发改委和教育局召开新闻通报会通报该市民办中小学收费政策调整方案。根据该方案，对照往年水平，大部分民办校学费都有不同幅度的提高。不过，根据该市《关于调整民办中小学收费政策有关问题的通知》要求，在实行分类分档最高限价后，严禁学校收取与入学挂钩的捐资助学款，往年被家长诟病的“入学赞助费”被严令禁止。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　根据通报，在各民办学校申请的基础上，经南京市教育局和发改委共同审核，各民办学校2019年秋季新生入学具体执行的收费标准，均在最高限价范围之内。根据统计，在义务教育阶段，一档收费5所学校、收费标准为2-2.68万元/生。学期；二档收费26所学校、收费标准1.07-1.87万元/生。学期；三档收费3所学校、收费标准0.45-0.85万元/生。学期；高中普通班1.76-3万元/生。学期，高中特色课程班不超过5万元/生。学期。

　　尽管南京市教育局和发改委的数据对比显示，该市民办中小学收费政策调整后，最高限价的收费标准，低于杭州，与苏州持平。但对比往年，大部分南京民办小学的学费在一万元上下，今年一些学校的学费涨幅几近翻倍。

　　据南京市教育部门统计，截止2018年底，该市各级各类中小学校共600所(小学360所、初中187所、高中53所)，在校生总数66.7万人。南京市民办中小学共35所，在校生总数6.16万人，占了该市中小学在校生总数的9.23%。

　　“南京义务教育学校发展格局是以公办为主，民办为补充。2018年全市基础教育经费投入超过310亿元，教育经费投入增幅在江苏省各设区市位居第一，南京优质资源覆盖率达95.8%。同时，全市加快推进义务教育标准化建设和教师校际之间的交流，为南京适龄儿童入学提供了充足的公办学校学位。”南京市教育局相关负责人表示，目前，该市民办中小学学费定价是以单个学校办学成本监审结果为基础，实行一校一价，严格控制调整周期和调价幅度，总体上收费标准较低。为进一步规范收费管理方式，需要按照民办中小学社会平均办学成本为基础，进行分类分档定价管理。

　　尤其是，近年来，国家和江苏省关于规范民办教育收费管理的文件已有明确规定，严禁收取与入学挂钩的捐资助学款。随着南京市民办中小学办学质量不断提升，越来越多的家庭选择民办中小学。对照相关政策要求，该市部分民办学校收费行为需要进一步规范。

　　记者了解到，民办学校学生与公办学校学生仍可同等享受南京市家庭经济困难学生奖助学金。(完)  

      ",5-23 19:50,http://www.chinanews.com/sh/2019/05-23/8845466.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:16
财经,中国新闻网 　,商务部回应美密集打压中企：将采取必要措施坚决维权,"  
　　中新社北京5月23日电 (记者 李晓喻)针对美国近期频频打压中国企业行为，中国商务部新闻发言人高峰23日称，将采取必要措施坚决维护企业合法权益。



资料图：商务部新闻发言人高峰。中新社记者 赵隽 摄

　　继将华为等一系列中国公司列入出口管制“实体名单”后，美国国务院国际安全与防扩散局当地时间22日宣布对13家中国企业和个人实施制裁，并要求美国政府部门不得向这些企业和个人提供任何服务产品和技术。此外，美国还“盯上”中国制造的无人机，声称这些无人机可能会使企业数据面临风险。

　　对此，高峰在当天举行的新闻发布会上表示，中方一贯坚决反对任何国家依据其国内法任意制裁中国企业和个人。中方将采取必要措施，坚决维护中国企业的合法权益。

　　他指出，对美方霸凌主义做法“最好的回应就是中国企业继续发展壮大”。中国政府将继续加大力度深化改革、扩大开放，为企业营造更加稳定、公平、便利、可预期的营商环境，帮助企业在市场竞争中提高应对风险的能力。

　　“中国政府有信心、有能力保护中国企业的合法权益。”高峰说。

　　日前，谷歌公司已停止了和华为的部分业务往来，未来还将停止向华为公司提供安卓系统的技术支持。

　　高峰称，美方动用国家力量打压中国企业，不仅严重破坏两国企业间正常商业合作，而且对全球产业链、供应链安全构成严重威胁。中方希望美方保持理性，纠正这样的危险做法。同时，中方将继续密切关注事态的发展，做好必要应对准备。(完)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 19:56,http://www.chinanews.com/cj/2019/05-23/8845498.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:16
社会,中国新闻网 　,“蓝色海湾”整治行动进行时：十城共议海洋生态发展,"  
　　中新网温州5月23日电(见习记者 潘沁文)蓝天白云、碧海银浪，位于浙江南部的温州洞头，迎来了海岛最美的季节。5月23日，“蓝色海湾”整治行动调研活动在浙江省温州市洞头区举行，来自自然资源部一行及入围2019年蓝色海湾整治行动的青岛市、威海市、台州市、温州市等十个城市的相关领导参加本次活动。活动通过实地调研、座谈等方式交流2016年“蓝色海湾”整治行动项目实施成效、经验，及“蓝色海湾”项目实施可能遇到的问题和困难。

　　地处东海之滨的洞头是国内14个海岛区(县)之一，共有302个岛屿组成。洞头以海为美，拥海而兴，近年来先后获得国家级海洋生态文明建设示范区、国家海洋公园等多张国字号“金名片”。



村庄立面彩化 林加杰 摄

　　2016年7月，洞头国家级海洋公园核心区蓝色海湾整治项目纳入中央海岛和海域保护资金计划，项目通过实施海洋环境综合治理、沙滩整治修复和生态廊道建设三大工程，推动沿海、近海景观生态化改造提升。

　　当天上午，调研组一行前往洞头区东屏街道东岙村、东屏街道仙叠岩海洋生态廊道、凸垄底海洋生态村庄、南塘湾湿地公园等地，实地查看温州市洞头区2016年“蓝色海湾”整治行动项目实施情况。



仙叠岩海洋生态廊道 洞头宣传部供图 摄

　　站在仙叠岩生态廊道上，不仅能看到美丽的大海，还能欣赏到洞头天然的海蚀地貌。洞头通过采用羊栖菜、紫菜、藤壶等贝藻耦合的模式进行海藻场修复，提升了附近海域的初级生产力，同时为小鱼虾避敌、索饵、产卵、生活提供了场所，有效恢复了这片海域的生态系统。

　　生态廊道给来自威海市海洋发展局的与会代表王鹏升留下了深刻的印象，他说：“洞头的先天条件十分优越，风景秀美。虽然悬崖上整治的难度比较高，但整治后的效果非常好，学到很多。”



修复后的东岙沙滩 吴爱珠 摄

　　通过蓝色海湾整治，洞头东岙村、凸垄底自然村等村庄摇身一变成为“网红村”。

　　据洞头区海洋与渔业发展研究中心负责人李昌达介绍，东岙沙滩修复是洞头区首个沙滩整治修复工程，修复前，这片沙滩是杂乱无章的砂砾质光滩，污水横流，环境很差。沙滩的修复改善了东岙村的生态环境，带动了东岙村的旅游产业和村级集体经济快速发展。

　　目前，东岙村内有70%村民从传统捕捞养殖转行从事旅游相关产业，沙滩边的旧民房改造后成了“聚宝盆”。2018年，东岙村接待游客达到30万人，旅游综合收入约2亿元。东岙村集体经济收入从2016年的7万元增长到2018年的70万元，户均收入提高了10万元。



岩海山居精品民宿集聚区 吴爱珠 摄

　　借着旅游发展的东风，通过“岩海山居”民宿项目，民宿产业在凸垄底自然村逐渐兴起。70多岁的该村村民叶明凯将闲置的老房子出租，再加上他现在负责管理民宿仓库，一个月有了2000多元的收入。“环境保护好，就是赚钱了，绿水青山就是金山银山。”叶明凯为这场“环境革命”竖起了大拇指。

　　在当天下午召开的座谈会上，温州市、青岛市、威海市、日照市4个城市代表分别就2016年“蓝色海湾”整治行动项目实施成效和经验进行汇报，并围绕“蓝色海湾”项目实施可能遇到的问题和困难就下一步工作打算进行交流讨论。

　　“碧海蓝天也是金山银山。”洞头区长林霞向与会代表分享了“洞头经验”，“在项目推进过程中，我们深刻认识到，海洋生态环境的治理和保护，不仅要‘治海’，还需要‘治陆’，做到海陆并进、同步治理。”

　　此外，洞头在推进蓝色海湾整治过程中，着眼蓝湾行动的可持续发展，创设了(中国)蓝色海湾整治修复评价指数体系，并得到了专家的高度肯定。

　　“我们通过实施蓝色海湾整治行动，利用生态‘杠杆’来撬动产业崛起、海岛振兴，让海岛群众换了一种方式‘靠海吃海’，走出一条既彰显海韵、又留得住乡愁的绿色发展道路。”林霞说。

　　2019年4月，洞头再次成功入围新一轮蓝色海湾整治行动。项目主要实施海岸带、滨海湿地和海岛海域生态修复三大工程，重点突出“破堤通海、生态海堤、十里湿地、退养还海”，将通过实施一系列生态化修复工程，打造生态健康、环境优美、人岛和谐、监管有效的生态岛礁，加快建设“海上花园”。(完)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 19:49,http://www.chinanews.com/sh/2019/05-23/8845495.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:47:16
